bookId,IVchapterId,IVverseId,IVverseText,KJVchapterId,KJVverseId,KJVverseText
29,1,1,"The word of the Lord that came to Joel, the son of Pethuel:",1,1,The word of the LORD that came to Joel the son of Pethuel.
29,1,2,"Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or even in the days of your fathers?",1,2,"Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or even in the days of your fathers?"
29,1,3,"Tell ye your children of it, and let your children tell their children, and their children another generation.",1,3,"Tell ye your children of it, and let your children tell their children, and their children another generation."
29,1,4,That which the palmerworm hath left hath the locust eaten; and that which the locust hath left hath the cankerworm eaten; and that which the cankerworm hath left hath the caterpillar eaten.,1,4,That which the palmerworm hath left hath the locust eaten; and that which the locust hath left hath the cankerworm eaten; and that which the cankerworm hath left hath the caterpillar eaten.
29,1,5,"Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth.",1,5,"Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth."
29,1,6,"For a nation is come up upon my land, strong and without number, whose teeth are <b>as</b> the teeth of a lion; and he hath the cheek teeth of a great lion.",1,6,"For a nation is come up upon my land, strong, and without number, whose teeth are the teeth of a lion, and he hath the cheek teeth of a great lion."
29,1,7,He hath laid my vine waste and barked my fig tree; he hath made it clean bare and cast it away; the branches thereof are made white.,1,7,"He hath laid my vine waste, and barked my fig tree: he hath made it clean bare, and cast it away; the branches thereof are made white."
29,1,8,Lament like a virgin girded with sackcloth for the husband of her youth.,1,8,Lament like a virgin girded with sackcloth for the husband of her youth.
29,1,9,"The meat offering and the drink offering is cut off from the house of the Lord; the priests, the Lord's ministers, mourn.",1,9,"The meat offering and the drink offering is cut off from the house of the LORD; the priests, the LORD's ministers, mourn."
29,1,10,"The field is wasted; the land mourneth, for the corn is wasted; the new wine is dried up; the oil languisheth.",1,10,"The field is wasted, the land mourneth; for the corn is wasted: the new wine is dried up, the oil languisheth."
