bookId	IVchapterId	IVverseId	IVverseText	KJVchapterId	KJVverseId	KJVverseText
35	1	1	The burden which Habakkuk the prophet did see:	1	1	The burden which Habakkuk the prophet did see.
35	1	2	O Lord, how long shall I cry, and thou wilt not hear--even cry out unto thee of violence, and thou wilt not save!	1	2	O LORD, how long shall I cry, and thou wilt not hear! even cry out unto thee of violence, and thou wilt not save!
35	1	3	Why dost thou show me iniquity, and cause me to behold grievance? For spoiling and violence are before me; and there are that raise up strife and contention.	1	3	Why dost thou show me iniquity, and cause me to behold grievance? for spoiling and violence are before me: and there are that raise up strife and contention.
35	1	4	Therefore, the law is slacked, and judgment doth never go forth, for the wicked doth compass about the righteous; therefore, wrong judgment proceedeth.	1	4	Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth.
35	1	5	Behold, ye among the heathen, and regard, and wonder <b>marvellously</b>; for I will work a work in your days which ye will not believe, though it be told you.	1	5	Behold ye among the heathen, and regard, and wonder <b>marvelously</b>: for I will work a work in your days, which ye will not believe, though it be told you.
35	1	6	For lo, I raise up the Chaldeans, that bitter and hasty nation, which shall march through the breadth of the land to possess the <b>dwelling-places</b> that are not theirs.	1	6	For, lo, I raise up the Chaldeans, that bitter and hasty nation, which shall march through the breadth of the land, to possess the <b>dwelling places</b> that are not theirs.
35	1	7	They are terrible and dreadful; their judgment and their dignity shall proceed of themselves.	1	7	They are terrible and dreadful: their judgment and their dignity shall proceed of themselves.
35	1	8	Their horses also are swifter than the leopards and are more fierce than the evening wolves; and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle that hasteth to eat.	1	8	Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle that hasteth to eat.
35	1	9	They shall come all for violence; their faces shall sup up as the east wind, and they shall gather the captivity as the sand.	1	9	They shall come all for violence: their faces shall sup up as the east wind, and they shall gather the captivity as the sand.
35	1	10	And they shall scoff at the kings, and the princes shall be a scorn unto them; they shall deride every <b>strong-hold</b>, for they shall heap dust and take it.	1	10	And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every <b>stronghold</b>; for they shall heap dust, and take it.
35	1	11	Then shall his mind change, and he shall pass over and offend, imputing this his power unto his god.	1	11	Then shall his mind change, and he shall pass over, and offend, imputing this his power unto his god.
35	1	12	Art thou not from everlasting, O Lord, my God, mine Holy One? We shall not die. O Lord, thou hast ordained them for judgment; and, O mighty God, thou hast established them for correction.	1	12	Art thou not from everlasting, O LORD my God, mine Holy One? we shall not die. O LORD, thou hast ordained them for judgment; and, O mighty God, thou hast established them for correction.
